Empresa,Relato
Hurb - Hotel Urbano,"Tenho 3 pedidos de pacotes flexiveis que estão para vencer em 30/11/2024. 2 estão cancelados desde 2023 e não foram reembolsados. 1 está ativo e não foi cumprido. Em contato com a empresa, informaramq ue não tem condições de cumprir até o momento meu pedido, pela falta de tarifa, e que até dia 30/11/2024 se eles não conseguirem cumprir, eles vão DECIDIR O QUE FARÃO com meu pedido. Além disso, a pouco, em um grupo do Whatsapp que participo, o DONO da HURB chamou-nos de BABACAS, e disse que não vai entregar, e que prioriza de forma PESSOAL o cumprimento dos contratos de pacotes."
Caixa Econômica Federal,"Fiz uma transferência via pix hoje dia 24/10/2024 as 00:56 no valor de R$ 100,00, o valor saiu da minha conta do Nubank, porém não entrou na conta digital da caixa econômica, e entrei em contato por telefone com a Caixa que apenas informaram que está em análise a transação e não tem prazo p/ terminar a análise, pode demorar, horas, como dias e nem resposta ter. Como assim não tem prazo? Quer dizer que eu tenho q esperar a boa vontade da análise?"
Credicard,"o banco Itau me ligou e fiz acordo com cartoes da empresa Itau Holliding CredCrad Zero final 7220, itau Vivo final 3509 e Itau Click final 3425 e foi pago em boleto de cobrançca que segue em anexo o comprovante pagamento, peco retire meu nome do registrato"
Latam Airlines (Tam),"Comprei 2 aéreos com 2 malas despachadas. Necessito alterar a data da viagem de 17/12/2024 para 13/12/2024, no entanto a empresa cobra um valor abusivo para alteração (a ponto de ser mais barato comprar um novo voo - segue anexos prints com simulação de compra)"
Latam Airlines (Tam),"Prezado(a), como vai? venho por meio desta plataforma solicitar suporte, pois, possuo a reserva WJSEZC, onde ocorreu uma pequena alteração de horários nos trechos. Entretanto, a Latam não disponibilizou a opção para remarcação sem custos, como de praxe nessas situações. Gostaria de solicitar a remarcação somente da VOLTA, para a data de 13/11/2024, para o voo LA8191, com partida de Miami às 19:30 e chegada em São Paulo às 05:40. Mantendo a ida da forma como está, requerendo a remarcação somente da volta nos termos mencionados. Agradeço desde já pela atenção e compreensão. At.te."
Equatorial Maranhão (CEMAR),"A unidade 3015744862 foi descontinuada , porém não está acessível o valor para pagamento . Falei com a atendente no 116. Ela reconhece uma dívida residual de R$ 307,25 mas não tem como emitir boleto ou código para pagamento ."
Drogarias Pacheco,"Fiz uma compra no dia 20/10 pelo aplicativo de um medicamento, cancelaram o pedido dizendo ter problema no sistema, tentei fazer o pedido do mesmo medicamento no 21/10 e foi cancelado novamente por dizer que tinha em estoque mais não tinha, sendo que ambos o pagamento foi feito em Pix, eu fique sem o medicamento e sem o dinheiro pra comprar em outro lugar pois não fui reembolsado, me deram um prazo de 72h para reembolso. É um absurdo esse prazo sendo que foi pago em Pix, eu estou sem o medicamento por culpa deles e sem o meu dinheiro."
Claro Celular,"No mês de setembro fiz a portabilidade do meu número pra claro flex, até aí tudo bem e o funcionamento está ok, nada a reclamar por enquanto. Porém quando o chip da portabilidade chegou em minha casa, um outro chip normal também chegou, eu logo descartei e usei só o claro flex. Ontem recebi no meu e-mail a cobrança dessa outra linha sendo que eu sequer ativei esse plano, fui na loja e me orientaram a ligar no 1052, por la fiz o procedimento para cancelar. Eu não solicitei nenhum outra linha/servico que não seja a portabilidade do meu número, espero que esse problema seja solucionado o quanto antes, pois estou usando o claro flex e pretendo continuar, mas se ficarem complicando a situação eu não vou usar é nenhum, aí não uso nem o flex e muito menos esse tal controle e ainda cancelo o plano da minha mãe e da minha esposa e todos nós mudaremos de operadora. Quem perde é a própria claro. No aguardo da resolução!!!"
Portocred Financeira,Exijo a exclusão de saldo de prejuízos uma vez que foi ofertado tal descontos no contrato sendo acordado e pago na vigência dos autos cobrados e relatados pela credora.
Serasa Experian,"Estou sendo cobrado pelos cartões de crédito que me ligam 30x ao dia. Me ameaçam direto meus bens. Me tratam mal, são extremamente mal educados e ignorantes."
Latam Airlines (Tam),"No dia 29;07/2024 realizei compra de voo com origem em Belo Horizonte (CNF) e destino final em Santa Maria (RIA) ida e volta com datas de 22/11 e 02/12. No entanto recebi comunicado que o voos sofreram alterações, o voo de volta foi alterado para o dia 03/12 sem problemas, mas o voo de ida foi alterado pela metade me oferecendo levar somente até Florianópolis. No entanto existe o voo ate o destino final (RIA) disponível para a compra. Tentei fazer a correção através do aplicativo, site e telefone sem sucesso."
Tim,"Desde que adquiri esta linha pré paga que são diversas mensagens diárias, vindas da própria prestadora TIM e seus patrocinadores, com mensagens e sobre planos controle, abertura de conta no Banco C6 Bank, entre outros."
Sky Airline,Reclamação inicial feita em 29/09/2024 com prazo de 15 dias pra resposta - sem retorno. Novo contato vai telefone em 23/10/2024 com prazo de 1 dia para resposta - sem retorno. Passagem Lima / Santiago comprada com pagamento via pix e não foi gerado código de reserva.
Shopee Brasil,"Conforme protocolo XXX.XXX.XXX-XX64582912, a shoope restringiu a conta deste usuario, sendo apresentado recurso, porém a empresa respondeu sem dar nenhum detalhe direto e sim vários itens aleatórios, deixando o usuario que não era tão ativo mais utilizava para fins criativos a conta, o reclamante tem ciência que nao cometeu nenhuma irregularidade, deixou claro que seu cartão virtual foi roubado por ter o celular furtado e outro utilizou o print do cartão que estava nas fotos, a pessoa comprou varias coisas com outro nome, que foram devolvidas corretamente, o reclamante avisou e reclamou sobre e após isso teve sua conta banida, mesmo apresentado todos os documentos, sendo que eu usava, enviei todos os dados para provando o caso e ignoraram, agora nao sei o que irão fazer com meus dados nem com minhas senhas q estão sob o poder deles, além de comprar que vou pagar sem ter comprado. Usarei esse contato e tentativa de solução para fins jurídicos futuros pois estou lesado"
Dotz,"Estou aguardando meu cartão ,a entrega já estava programada ,porém até agora já se passou mais de 24 horas ,nada de entrega o cartão, não há código e nem transportadora para acompanhar a entrega."
Correios,"Bloqueio do recebimento de SMS, impossibilitando receber código validação de mfa seja bancos contas na Microsoft etc. se os canais de atendimento normais resolvessem não abrira reclamação aqui, entoa solicito que não encerrem com a mesma resposta da reclamação anterior"
Recovery do Brasil Consultoria,"Conforme decisão do STJ, dívidas prescritas não podem ser mais cobradas. Solicito a baixa da minha dívida do site do Serasa."
Serasa Experian,Retirar meu nome do Serasa e SPC
Latam Airlines (Tam),"Realizei a compra da passagem, reserva NVGWTB e em contato com a empresa tirei todas as dúvidas referente a minha viagem com a Leona (minha cachorra de 29kg). Me informaram que o peso da cachorra + a caixa de transporte não poderia passar dos 45 kg para poder ir no porão do avião, como está descrito nas normas da empresa no site fiz a solicitação do serviço na minha reserva. Como resposta da solicitação, recebi uma ligação da Latam onde o atendente me informou que o meu pet não poderia viajar, pois o meu voo de Guarulhos para João Pessoa (voo direto) não poderia levar animal com mais de 20kg por mais de 3 horas (meu voo tem 3 horas e 15 minutos), mas onde está essa informação? Não tem essa informação no site da Latam. Até mesmo os atendentes não souberam responder. Então, agora estou desesperada porque estou me mudando para João Pessoa no dia 27/10, e para conseguir levar a minha cachorra eu teria que pagar taxa de remarcação + as diferenças de tarifas e por ser em cima da hora o valor está um absurdo para remarcar. Irei procurar meios judiciais, porque isso não é justo. Choro só de pensar em não conseguir viajar com a minha companheira Leona, não vou abandonar a minha cachorra. O pior de tudo é que no dia de minha viagem o voo direto que estou teve a solicitação de serviço recusado porque tinha 3 horas e 15 minutos de duração e o máximo seria 3 horas. Para a data do dia 27/10 me ofereceram voos com conexões, o que seria inviável, pois temo pela saúde da minha cachorra, porque a Leona já é idosinha (tem 8 aninhos) e nunca viajou de avião. Devido ao fato de ter sido prejudicada pela falta de informação por parte da Latam, quero solicitar a mudança de passagem sem custos para o dia 29/10/2024 (a data que tem voo direto) sendo o voo LA3682 de CONGONHAS para João Pessoa, que sai às 19:35H e chega as 22:35 no qual é possível dentro das regras informadas durante a negativa. Esse voo tem 3 horas exatas de duração. Não informei sobre esse voo citado acima, pois na ligação em nenhum momento me falaram dele. Espero que tudo possa ser resolvido o mais rápido possível, pois estou aflita por causa da aproximação da data da viagem."
Recovery do Brasil Consultoria,"Bom dia quero que a recovery faça a exclusão do meu nome dos órgãos do consumidor como SPC/ Serasa,já fazem 14 anos e quero uma solução,desde já obrigado,esse e o meu direto como consumidor."
Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito),"Em (data) verifiquei a o extrato ( cartão de crédito / conta corrente) na qual constava cobrança do serviço (indique o serviço cobrado exemplo: seguro, título de capitalização, etc) no valor (indique o valor da cobrança) que por mim não é reconhecido, pois eu não solicitei e não autorizei a contratação. (Descreva os contatos realizados com a empresa os indicando data, horário e o atendimento recebido e informe se o valor contestado foi ou não pago)"
Serasa Experian,"Em (data) verifiquei a o extrato ( cartão de crédito / conta corrente) na qual constava cobrança do serviço (indique o serviço cobrado exemplo: seguro, título de capitalização, etc) no valor (indique o valor da cobrança) que por mim não é reconhecido, pois eu não solicitei e não autorizei a contratação. (Descreva os contatos realizados com a empresa os indicando data, horário e o atendimento recebido e informe se o valor contestado foi ou não pago)"
Serasa Experian,Serasa Dívida já vencida e continua no sistema deles.
Banco Pine,"Fiz uma solicitação de Portabilidade do meu contrato no. 1100165079 no dia 18 de outubro ja tendo problemas outras vezes, solicitação de NU XXX.XXX.XXX-XX0344667717, tendo como retorno do Banco Pine a retenção devido ao CPF não ser o do contrato, esta informação está errada uma vez que peguei o numero do contrato com o próprio banco Pine, eles estão me ditando o direito de Portar o meu contrato, não liberando ele."
Correios,"Postei um AR físico em 19/09/2023 para um endereço na mesma cidade da postagem, o destinatário recebeu o AR em 19/09/2024, mas os correios não me devolveu o AR, até o momento. Procurei a agência central dos correios onde fiz a postagem, onde fui informado que deveria reclamar no SAC pelo telefone XXXXX-X100. Realizei alguma ligação para tentar resolver o problema, mas após percorrer todo o menu eletrônico e aguardar 8 a 10 min. recebia um mensagem dizendo que todos os atendentes estavam ocupados e que eu ligasse em outro e encerrava a ligação. Preciso do comprovante de entrega deste AR para comprovação de que a pessoa foi notificada. Objeto BN184764042BR"
Gol Linhas Aéreas,"Prezados, Fiz reserva para viajar dia 25/10/2024 saindo de Maceió com StopOver no Rio de Janeiro, destino que sempre quis conhecer. Ocorre que fiquei doente e impossibilitado de realizar a viagem cerca de 2 dias antes da data prevista. Entrei em contato com a Central da Gol via Chat (protocolo 13736835) e, após esperar na fila por cerca de 40 minutos, expliquei a situação, anexando inclusive atestado médico. A atendente respondeu que o ""setor médico"" da Gol não teria aprovado, pois teria que constar que não poderia fazer o embarque. Ora, se uma pessoa está doente, como vai viajar? Exceto para tratar da própria saúde, o que não é o caso, não tem como, pois se trata de viagem para passeio. Informei que desejava manter a viagem para viajar quando estivesse recuperado, mas falaram que não seria possível nenhuma flexibilização. Contestei a atitude desumana da empresa, mas foi em vão. Com a negativa e a total falta de empatia da Gol, tive crises de ansiedade precisando tomar mais medicação. A falta de empatia, respeito e consideração com o cliente aparentemente é o que movem a Gol, que quer obrigar o passageiro a viajar doente, podendo agravar a saúde já fragilizada do passageiro."
Serasa Experian,"LEMBRANDO NOVAMENTE 1 SCOORE ALTO D+ 2 AUMENTRAM % 3 DEVO NÃO NEGO QUERO PAGAR E VCS DESSE EMPRESA NÃO FACILITA 4 PELA LEI ESSA EMPRESA O SERASA, NÃO PIDE FAZER ISSO ( POIS ENTRAR NA JUSTIÇA ) DA DANOS NORAIS POR COLOCAR O NEU CPF SUJO A MOSTRA A TODOS AS CONSULTAS.. 5 GOSTARIA DE PAGAR MAS DIVIDEM CEM JUROS SOMWNTE COM JUROS ABUSIVOS MESMO... JA E SEGUNDA RECLAMAÇÃO E PROVIDENCIA 0%.. OU TA PRA AJUDAR QUE NÃO E O CASO E SIM PARA DERRUBAR MAS NO BURACO.. QUAL É EMPRESA SERASA? 6 MUITAS CONSULTAS EM NEU CPF E ISSO ATRAPALHA MUITO."
